Architecture,State,StateName,ConvertedUnit,OriginalUnit,R2,MAE,RMSE
tiny,25,xDotBTilt,m/s,m/s,0.9118212312459946,2.433186091366224e-05,0.00016842654440551996
tiny,26,SpeedRPMLift,RPM,rad/s,0.8808859810233116,4.890976428985596,7.028003692626953
tiny,27,SpeedRPMTilt,RPM,rad/s,0.8808270171284676,4.8932294845581055,7.032698631286621
tiny,28,PpistonLift,bar,Pa,0.9585341289639473,327585.59375,555359.3125
tiny,29,ProdLift,bar,Pa,0.9827385041862726,37253.921875,148658.5625
tiny,30,ProdTilt,bar,Pa,0.970732070505619,324389.15625,509890.25
tiny,31,PpistonTilt,bar,Pa,0.9672546349465847,41295.64453125,102294.1640625
tiny,32,ThetaDotLift,deg/s,rad/s,0.9245226830244064,0.024786746129393578,0.040953025221824646
tiny,33,ThetaLift,deg,rad,0.636960357427597,0.06895989179611206,0.09868691861629486
tiny,34,ThetaDotTilt,deg/s,rad/s,0.9070913940668106,0.06552541255950928,0.09746180474758148
tiny,35,ThetaTilt,deg,rad,0.5771991014480591,0.16628962755203247,0.24691671133041382
tiny,36,CylinderlengthLift,m,m,0.6414676308631897,0.02175194025039673,0.031016269698739052
tiny,37,CylinderlengthTilt,m,m,0.6439211070537567,0.04363841935992241,0.06319393217563629
small,0,IqRefLift,A,A,0.980561988428235,0.5424758791923523,1.1459470987319946
small,1,IqRefTilt,A,A,0.9799949582666159,0.5920112729072571,1.1242594718933105
small,2,UdRefLift,V,V,0.9255894869565964,1.654220461845398,2.4172756671905518
small,3,UqRefLift,V,V,0.8830736503005028,4.4274821281433105,7.458190441131592
small,4,UdRefTilt,V,V,0.9501510709524155,1.036819338798523,1.5317959785461426
small,5,UqRefTilt,V,V,0.8778741285204887,4.450631618499756,7.81923246383667
small,6,IdLift,A,A,0.9695135317742825,0.0007052345317788422,0.0027851597405970097
small,7,IqLift,A,A,0.9802509900182486,0.5289412140846252,1.1304283142089844
small,8,IdTilt,A,A,0.9729526620358229,0.0009002332808449864,0.004086781293153763
small,9,IqTilt,A,A,0.9780422374606133,0.5943406224250793,1.1502854824066162
